element,product,o2_consumption,product_ratio,b3lypg_6311g*_e_tot_hartree,b3lypg_6311g*_e_tot_ev,b3lypg_6311g*_H_tot_298K_ev,triton_energy_ev,AIMNET2_energy_ev,smiles
H,H2O,0.5,0.5,-76.43394949999470,-2079.87372215016000,-2079.1911502250800,-2081.046463877110,-2081.026123046880,O
Li,Li2O,0.5,0.5,,,,,,
Be,BeO,1.0,1.0,,,,,,
B,B2O3,1.5,0.5,-275.6203997779360,-7500.0131556291100,-7499.345319467760,-7503.026077420300,-7502.9189453125,B(=O)OB=O
C,CO2,2.0,1.0,-188.64112502114000,-5133.18651482663000,-5132.7708438762900,-5135.280630180840,-5135.2392578125,O=C=O
N,N2,0.0,0.5,-109.55592982017600,-2981.16872187440000,-2981.0659515918300,-2982.7071774463100,-2982.68701171875,N#N
O,O2,-1.0,0.0,-150.30262824784600,-4089.94287103823000,-4089.840100755650,-4091.617410442260,-4091.6044921875,O=O
F,HF,0.0,1.0,-100.45856381467000,-2733.61678167752000,-2733.5140113949500,-2734.8608809629500,-2734.8544921875,F
Na,Na2O,0.5,1.0,,,,,,
Si,SiO2,2.0,1.0,-440.00053163156200,-11973.02441466340000,-11972.71758475890,-11975.797577705900,-11975.7490234375,O=[Si]=O
P,P2O5,2.5,0.5,-1059.1269734298700,-28820.3131575370000,-28819.438993393500,-28828.97465230520,-28828.50585938,O=P12OP3(=O)OP(=O)(O1)OP(=O)(O2)O3
S,SO2,2.0,1.0,-548.6559640401780,-14929.6893536583000,-14929.393961046900,-14933.345688050900,-14933.291015625,O=S=O
Cl,HCl,0.0,1.0,-460.82610075329400,-12539.71701982720000,-12539.614249544700,-12540.854552382700,-12540.83984375,Cl
K,K2O,0.5,1.0,,,,,,
Br,HBr,0.0,1.0,-2574.7474248325500,-70062.4466629634000,-70062.34389268090,-70062.8673958056,-70062.8515625,Br
I,HI,0.0,1.0,-6920.127908312790,-188306.273384692000,-188306.17061440900,-8119.497566806370,-8119.478515625,I
